Time (s),Current (mA)
0.64831,0.020044
0.649562,0.020312
0.650814,0.014453
0.652065,0.011694
0.653317,0.008472
0.654568,0.006909
0.65582,0.004834
0.657071,0.003247
0.658323,0.002441
0.659574,0.002466
0.660826,0.002075
0.662078,0.001245
0.663329,0.001587
0.664581,0.000464
0.665832,0.000928
0.667084,0.000366
0.668335,0.000488
0.669587,0.000708
0.670839,0.000293
0.67209,0.000464
0.673342,0.000977
0.674593,0.000342
0.675845,0.000879
0.677096,7.3e-05
0.678348,0.000732
0.679599,0.001099
0.680851,0.0
0.682103,0.000195
0.683354,0.000732
0.684606,0.000415
0.685857,0.000659
0.687109,0.000269
0.68836,0.000537
0.689612,0.000439
0.690864,0.000977
0.692115,0.00061
0.693367,0.000635
0.694618,0.000342
0.69587,0.000317
0.697121,0.000317
0.698373,0.000659
0.699625,0.000342
0.700876,0.005493
0.702128,0.009863
0.703379,0.012134
0.704631,0.013696
0.705882,0.015845
0.707134,0.016357
0.708385,0.016577
0.709637,0.017651
0.710889,0.017798
0.71214,0.01875
0.713392,0.019189
0.714643,0.020044
0.715895,0.019678
0.717146,0.019556
0.718398,0.020068
0.71965,0.018921
0.720901,0.019946
0.722153,0.02019
0.723404,0.019336
0.724656,0.020386
0.725907,0.020093
0.727159,0.0198
0.728411,0.020215
0.729662,0.020898
0.730914,0.020068
0.732165,0.020093
0.733417,0.0198
0.734668,0.019653
0.73592,0.020337
0.737171,0.019653
0.738423,0.043921
0.739675,0.033521
0.740926,0.028052
0.742178,0.024658
0.743429,0.02041
0.744681,0.0198
0.745932,0.019897
0.747184,0.050366
0.748436,0.037476
0.749687,0.030273
0.750939,0.02124
0.75219,0.014429
0.753442,0.009082
0.754693,0.007202
0.755945,0.005298
0.757196,0.004712
0.758448,0.002783
0.7597,0.001953
0.760951,0.001245
0.762203,0.002197
0.763454,0.001587
0.764706,0.040332
0.765957,0.023584
0.767209,0.013306
0.768461,0.001733
0.769712,0.000757
0.770964,0.000684
0.772215,0.000903
0.773467,0.000781
0.774718,0.000659
0.77597,0.00022
0.777222,0.000732
0.778473,0.00127
0.779725,0.00105
0.780976,0.001147
0.782228,0.000317
0.783479,0.000122
0.784731,0.000464
0.785982,0.000537
0.787234,0.000952
0.788486,0.0
0.789737,0.001123
0.790989,0.000439
0.79224,0.000342
0.793492,9.8e-05
0.794743,0.0427
0.795995,0.00083
0.797247,0.000537
0.798498,0.0
0.79975,0.0
0.801001,0.005249
0.802253,0.009692
0.803504,0.01167
0.804756,0.0323
0.806008,0.015283
0.807259,0.053198
0.808511,0.037427
0.809762,0.018018
0.811014,0.018433
0.812265,0.019189
0.813517,0.019922
0.814768,0.019824
0.81602,0.019434
0.817272,0.019214
0.818523,0.020776
0.819775,0.019824
0.821026,0.019849
0.822278,0.019873
0.823529,0.019995
0.824781,0.019873
0.826033,0.033594
0.827284,0.02771
0.828536,0.019971
0.829787,0.019751
0.831039,0.019702
0.83229,0.02002
0.833542,0.019897
0.834793,0.020605
0.836045,0.018945
0.837297,0.020435
0.838548,0.020508
0.8398,0.019165
0.841051,0.019873
0.842303,0.019849
0.843554,0.019434
0.844806,0.019678
0.846058,0.019556
0.847309,0.020703
0.848561,0.020386
0.849812,0.020508
0.851064,0.015405
0.852315,0.011011
0.853567,0.008521
0.854819,0.00686
0.85607,0.004639
0.857322,0.004248
0.858573,0.003003
0.859825,0.002295
0.861076,0.002246
0.862328,0.001782
0.863579,0.001172
0.864831,0.001587
0.866083,0.000537
0.867334,0.001099
0.868586,0.001001
0.869837,0.050342
0.871089,0.029321
0.87234,9.8e-05
0.873592,0.000952
0.874844,0.000488
0.876095,0.000342
0.877347,0.000952
0.878598,0.000244
0.87985,0.0
0.881101,0.0
0.882353,0.000757
0.883605,0.0
0.884856,0.001196
0.886108,0.0
0.887359,0.001172
0.888611,0.000586
0.889862,0.000464
0.891114,0.000293
0.892365,0.000659
0.893617,0.000488
0.894869,0.000952
0.89612,0.000537
0.897372,0.000562
0.898623,0.000366
0.899875,0.000488
0.901126,0.005493
0.902378,0.00835
0.90363,0.01123
0.904881,0.014136
0.906133,0.028979
0.907384,0.024219
0.908636,0.021875
0.909887,0.037769
0.911139,0.028076
0.91239,0.024194
0.913642,0.022461
0.914894,0.020825
0.916145,0.019702
0.917397,0.01897
0.918648,0.020142
0.9199,0.019995
0.921151,0.019946
0.922403,0.020288
0.923655,0.020581
0.924906,0.020337
0.926158,0.019214
0.927409,0.019458
0.928661,0.019727
0.929912,0.019995
0.931164,0.02019
0.932416,0.019702
0.933667,0.020068
0.934919,0.019702
0.93617,0.019751
0.937422,0.019434
0.938673,0.019629
0.939925,0.019458
0.941176,0.019604
0.942428,0.02041
0.94368,0.019629
0.944931,0.021045
0.946183,0.02019
0.947434,0.020068
0.948686,0.019653
0.949937,0.020288
0.951189,0.014893
0.952441,0.011523
0.953692,0.009741
0.954944,0.006641
0.956195,0.005591
0.957447,0.003687
0.958698,0.003101
0.95995,0.003149
0.961202,0.001709
0.962453,0.002319
0.963705,0.001611
0.964956,0.000903
0.966208,0.001221
0.967459,0.001245
0.968711,0.001001
0.969962,7.3e-05
0.971214,0.000366
0.972466,0.000513
0.973717,0.000562
0.974969,0.000806
0.97622,0.00061
0.977472,0.0
0.978723,0.000684
0.979975,0.000757
0.981227,0.000732
0.982478,0.000952
0.98373,0.00083
0.984981,0.000684
0.986233,0.000488
0.987484,0.0
0.988736,0.000684
0.989987,0.000586
0.991239,0.00061
0.992491,0.0
0.993742,7.3e-05
0.994994,0.000928
0.996245,0.000488
0.997497,0.000781
0.998748,0.000513
1.0,0.000513
