Time (s),Current (mA)
1.385,-3.595
1.390,-3.837
1.395,-4.043
1.400,-4.210
1.405,-4.337
1.410,-4.423
1.415,-4.465
1.420,-4.464
1.425,-4.418
1.430,-4.329
1.435,-4.198
1.440,-4.026
1.445,-3.815
1.450,-3.567
1.455,-3.284
1.460,-2.969
1.465,-2.624
1.470,-2.253
1.475,-1.857
1.480,-1.440
1.485,-1.006
1.490,-0.556
1.495,-0.096
1.500,0.370
1.505,0.835
1.510,1.294
1.515,1.741
1.520,2.170
1.525,2.578
1.530,2.960
1.535,3.313
1.540,3.633
1.545,3.916
1.550,4.159
1.555,4.359
1.560,4.513
1.565,4.620
1.570,4.678
1.575,4.685
1.580,4.640
1.585,4.542
1.590,4.391
1.595,4.187
1.600,3.933
1.605,3.630
1.610,3.280
1.615,2.887
1.620,2.455
1.625,2.007
1.630,1.516
1.635,1.009
1.640,0.491
1.645,-0.026
1.650,-0.540
1.655,-1.041
1.660,-1.526
1.665,-1.990
1.670,-2.428
1.675,-2.837
1.680,-3.212
1.685,-3.551
1.690,-3.850
1.695,-4.108
1.700,-4.322
1.705,-4.489
1.710,-4.608
1.715,-4.677
1.720,-4.697
1.725,-4.666
1.730,-4.584
1.735,-4.450
1.740,-4.266
1.745,-4.032
1.750,-3.750
1.755,-3.421
1.760,-3.047
1.765,-2.631
1.770,-2.176
1.775,-1.685
1.780,-1.162
1.785,-0.610
1.790,-0.033
1.795,0.560
1.800,1.164
1.805,1.770
1.810,2.370
1.815,2.955
1.820,3.518
1.825,4.052
1.830,4.551
1.835,5.010
1.840,5.424
1.845,5.788
1.850,6.100
1.855,6.357
1.860,6.556
1.865,6.696
1.870,6.775
1.875,6.793
1.880,6.748
1.885,6.642
1.890,6.475
1.895,6.250
1.900,5.970
1.905,5.638
1.910,5.258
1.915,4.834
1.920,4.370
1.925,3.871
1.930,3.342
1.935,2.787
1.940,2.213
1.945,1.626
1.950,1.033
1.955,0.440
1.960,-0.141
1.965,-0.710
1.970,-1.258
1.975,-1.779
1.980,-2.268
1.985,-2.721
1.990,-3.134
1.995,-3.504
2.000,-3.829
2.005,-4.106
2.010,-4.333
2.015,-4.509
2.020,-4.632
2.025,-4.701
2.030,-4.716
2.035,-4.675
2.040,-4.577
2.045,-4.423
2.050,-4.214
2.055,-3.951
2.060,-3.636
2.065,-3.272
2.070,-2.861
2.075,-2.408
2.080,-1.915
2.085,-1.386
2.090,-0.825
2.095,-0.237
2.100,0.366
2.105,0.976
2.110,1.587
2.115,2.193
2.120,2.787
2.125,3.363
2.130,3.914
2.135,4.433
2.140,4.916
2.145,5.357
2.150,5.750
2.155,6.091
2.160,6.376
2.165,6.602
2.170,6.766
2.175,6.864
2.180,6.897
2.185,6.862
2.190,6.760
2.195,6.592
2.200,6.360
2.205,6.069
2.210,5.720
2.215,5.318
2.220,4.869
2.225,4.379
2.230,3.854
2.235,3.301
2.240,2.727
2.245,2.139
2.250,1.543
2.255,0.947
2.260,0.358
2.265,-0.218
2.270,-0.781
2.275,-1.332
2.280,-1.863
2.285,-2.368
2.290,-2.840
2.295,-3.275
2.300,-3.668
2.305,-4.016
2.310,-4.316
2.315,-4.565
2.320,-4.761
2.325,-4.904
2.330,-4.992
2.335,-5.025
2.340,-5.003
2.345,-4.925
2.350,-4.793
2.355,-4.607
2.360,-4.368
2.365,-4.080
2.370,-3.743
2.375,-3.361
2.380,-2.936
2.385,-2.470
2.390,-1.968
2.395,-1.431
2.400,-0.865
2.405,-0.274
2.410,0.334
2.415,0.950
2.420,1.569
2.425,2.185
2.430,2.793
2.435,3.385
2.440,3.955
2.445,4.496
2.450,5.001
2.455,5.466
2.460,5.885
2.465,6.254
2.470,6.568
2.475,6.824
2.480,7.018
2.485,7.147
2.490,7.208
2.495,7.199
2.500,7.120
2.505,6.970
2.510,6.751
2.515,6.467
2.520,6.121
2.525,5.717
2.530,5.258
2.535,4.750
2.540,4.197
2.545,3.606
2.550,2.984
2.555,2.337
2.560,1.670
2.565,0.988
2.570,0.297
2.575,-0.399
2.580,-1.090
2.585,-1.767
2.590,-2.422
2.595,-3.047
2.600,-3.633
2.605,-4.175
2.610,-4.667
2.615,-5.105
2.620,-5.485
2.625,-5.803
2.630,-6.056
2.635,-6.241
2.640,-6.356
2.645,-6.398
2.650,-6.417
2.655,-6.355
2.660,-6.223
2.665,-6.023
2.670,-5.758
2.675,-5.433
2.680,-5.051
2.685,-4.616
2.690,-4.133
2.695,-3.607
2.700,-3.044
2.705,-2.449
2.710,-1.826
2.715,-1.181
2.720,-0.518
2.725,0.143
2.730,0.806
2.735,1.465
2.740,2.112
2.745,2.741
2.750,3.345
2.755,3.918
2.760,4.453
2.765,4.945
2.770,5.388
2.775,5.779
2.780,6.115
2.785,6.392
2.790,6.608
2.795,6.759
2.800,6.845
2.805,6.864
2.810,6.816
2.815,6.702
2.820,6.523
2.825,6.281
2.830,5.979
2.835,5.620
2.840,5.207
2.845,4.743
2.850,4.234
2.855,3.684
2.860,3.099
2.865,2.486
2.870,1.851
2.875,1.199
2.880,0.536
2.885,-0.134
2.890,-0.803
2.895,-1.464
2.900,-2.110
2.905,-2.735
2.910,-3.332
2.915,-3.896
2.920,-4.420
2.925,-4.898
2.930,-5.326
2.935,-5.700
2.940,-6.015
2.945,-6.269
2.950,-6.457
2.955,-6.578
2.960,-6.629
2.965,-6.609
2.970,-6.518
2.975,-6.357
2.980,-6.128
2.985,-5.834
2.990,-5.479
2.995,-5.066
3.000,-4.601
3.005,-4.088
3.010,-3.533
3.015,-2.942
3.020,-2.321
3.025,-1.677
3.030,-1.017
3.035,-0.347
3.040,0.323
3.045,0.988
3.050,1.644
3.055,2.285
3.060,2.907
3.065,3.504
3.070,4.070
3.075,4.600
3.080,5.088
3.085,5.529
3.090,5.918
3.095,6.252
3.100,6.527
3.105,6.741
3.110,6.891
3.115,6.974
3.120,6.989
3.125,6.935
3.130,6.812
3.135,6.621
3.140,6.363
3.145,6.040
3.150,5.656
3.155,5.213
3.160,4.714
3.165,4.164
3.170,3.568
3.175,2.932
3.180,2.262
3.185,1.564
3.190,0.843
3.195,0.106
3.200,-0.630
3.205,-1.361
3.210,-2.079
3.215,-2.776
3.220,-3.444
3.225,-4.078
3.230,-4.671
3.235,-5.217
3.240,-5.711
3.245,-6.147
3.250,-6.521
3.255,-6.828
3.260,-7.065
3.265,-7.228
3.270,-7.315
3.275,-7.324
3.280,-7.254
3.285,-7.106
3.290,-6.882
3.295,-6.586
3.300,-6.222
3.305,-5.795
3.310,-5.310
3.315,-4.773
3.320,-4.190
3.325,-3.568
3.330,-2.913
3.335,-2.232
3.340,-1.530
3.345,-0.814
3.350,-0.091
3.355,0.630
3.360,1.341
3.365,2.036
3.370,2.710
3.375,3.355
3.380,3.966
3.385,4.537
3.390,5.063
3.395,5.538
3.400,5.959
3.405,6.321
3.410,6.621
3.415,6.856
3.420,7.023
3.425,7.121
3.430,7.147
3.435,7.098
3.440,6.976
3.445,6.782
3.450,6.518
3.455,6.186
3.460,5.789
3.465,5.330
3.470,4.813
3.475,4.243
3.480,3.626
3.485,2.969
3.490,2.278
3.495,1.560
3.500,0.822
3.505,0.071
3.510,-0.678
3.515,-1.423
3.520,-2.155
3.525,-2.868
3.530,-3.553
3.535,-4.205
3.540,-4.815
3.545,-5.378
3.550,-5.888
3.555,-6.340
3.560,-6.730
3.565,-7.054
3.570,-7.309
3.575,-7.491
3.580,-7.599
3.585,-7.632
3.590,-7.590
3.595,-7.472
3.600,-7.280
3.605,-7.015
3.610,-6.679
3.615,-6.275
3.620,-5.807
3.625,-5.279
3.630,-4.698
3.635,-4.069
3.640,-3.397
3.645,-2.688
3.650,-1.948
3.655,-1.183
3.660,-0.400
3.665,0.390
3.670,1.185
3.675,1.977
3.680,2.756
3.685,3.514
3.690,4.241
3.695,4.931
3.700,5.576
3.705,6.169
3.710,6.705
3.715,7.177
3.720,7.583
3.725,7.918
3.730,8.181
3.735,8.371
3.740,8.487
3.745,8.528
3.750,8.494
3.755,8.386
3.760,8.204
3.765,7.951
3.770,7.627
3.775,7.236
3.780,6.780
3.785,6.264
3.790,5.694
3.795,5.075
3.800,4.412
3.805,3.712
3.810,2.980
3.815,2.221
3.820,1.442
3.825,0.649
3.830,-0.147
3.835,-0.938
3.840,-1.718
3.845,-2.482
3.850,-3.223
3.855,-3.935
3.860,-4.612
3.865,-5.247
3.870,-5.836
3.875,-6.374
3.880,-6.858
3.885,-7.284
3.890,-7.649
3.895,-7.951
3.900,-8.187
3.905,-8.358
3.910,-8.462
3.915,-8.498
3.920,-8.466
3.925,-8.367
3.930,-8.201
3.935,-7.970
3.940,-7.676
3.945,-7.320
3.950,-6.905
3.955,-6.433
3.960,-5.906
3.965,-5.328
3.970,-4.704
3.975,-4.038
3.980,-3.336
3.985,-2.603
3.990,-1.844
3.995,-1.066
4.000,-0.276
4.005,0.518
4.010,1.312
4.015,2.096
4.020,2.863
4.025,3.603
4.030,4.307
4.035,4.966
4.040,5.572
4.045,6.117
4.050,6.596
4.055,7.004
4.060,7.338
4.065,7.596
4.070,7.777
4.075,7.881
4.080,7.907
4.085,7.855
4.090,7.726
4.095,7.521
4.100,7.241
4.105,6.890
4.110,6.471
4.115,5.987
4.120,5.443
4.125,4.843
4.130,4.192
4.135,3.500
4.140,2.774
4.145,2.022
4.150,1.252
4.155,0.473
4.160,-0.306
4.165,-1.077
4.170,-1.834
4.175,-2.570
4.180,-3.279
4.185,-3.955
4.190,-4.591
4.195,-5.182
4.200,-5.723
4.205,-6.208
4.210,-6.634
4.215,-6.996
4.220,-7.289
4.225,-7.511
4.230,-7.661
4.235,-7.737
4.240,-7.738
4.245,-7.666
4.250,-7.522
4.255,-7.307
4.260,-7.025
4.265,-6.678
4.270,-6.269
4.275,-5.803
4.280,-5.284
4.285,-4.717
4.290,-4.109
4.295,-3.468
4.300,-2.799
4.305,-2.109
4.310,-1.405
4.315,-0.693
4.320,0.024
4.325,0.735
4.330,1.436
4.335,2.122
4.340,2.787
4.345,3.424
4.350,4.027
4.355,4.591
4.360,5.111
4.365,5.580
4.370,5.993
4.375,6.347
4.380,6.637
4.385,6.858
4.390,7.009
4.395,7.087
4.400,7.090
4.405,7.020
4.410,6.878
4.415,6.666
4.420,6.388
4.425,6.046
4.430,5.644
4.435,5.185
4.440,4.673
4.445,4.113
4.450,3.510
4.455,2.871
4.460,2.203
4.465,1.513
4.470,0.806
4.475,0.088
4.480,-0.628
4.485,-1.339
4.490,-2.043
4.495,-2.730
4.500,-3.394
4.505,-4.027
4.510,-4.621
4.515,-5.170
4.520,-5.667
4.525,-6.107
4.530,-6.486
4.535,-6.799
4.540,-7.045
4.545,-7.221
4.550,-7.326
4.555,-7.359
4.560,-7.319
4.565,-7.208
4.570,-7.027
4.575,-6.778
4.580,-6.465
4.585,-6.090
4.590,-5.658
4.595,-5.172
4.600,-4.637
4.605,-4.059
4.610,-3.444
4.615,-2.799
4.620,-2.131
4.625,-1.446
4.630,-0.751
4.635,-0.054
4.640,0.639
4.645,1.328
4.650,2.006
4.655,2.666
4.660,3.300
4.665,3.899
4.670,4.456
4.675,4.966
4.680,5.422
4.685,5.821
4.690,6.157
4.695,6.428
4.700,6.629
4.705,6.759
4.710,6.814
4.715,6.793
4.720,6.696
4.725,6.525
4.730,6.284
4.735,5.975
4.740,5.602
4.745,5.170
4.750,4.683
4.755,4.145
4.760,3.563
4.765,2.943
4.770,2.293
4.775,1.619
4.780,0.927
4.785,0.223
4.790,-0.479
4.795,-1.171
4.800,-1.848
4.805,-2.505
4.810,-3.136
4.815,-3.737
4.820,-4.301
4.825,-4.823
4.830,-5.297
4.835,-5.719
4.840,-6.084
4.845,-6.388
4.850,-6.629
4.855,-6.804
4.860,-6.910
4.865,-6.946
4.870,-6.911
4.875,-6.805
4.880,-6.631
4.885,-6.390
4.890,-6.086
4.895,-5.722
4.900,-5.302
4.905,-4.830
4.910,-4.312
4.915,-3.754
4.920,-3.161
4.925,-2.538
4.930,-1.892
4.935,-1.229
4.940,-0.554
4.945,0.119
4.950,0.791
4.955,1.455
4.960,2.103
4.965,2.729
4.970,3.327
4.975,3.890
4.980,4.412
4.985,4.888
4.990,5.313
4.995,5.683
5.000,5.993
